;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID550;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID551;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID58;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID580;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID581;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
ID582;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID583;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID584;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID585;0;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
ID586;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
ID587;0;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
ID588;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
ID589;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
ID59;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID590;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0
ID591;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
ID619;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID620;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID621;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0
ID622;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
ID623;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
ID624;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ID625;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0
ID626;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
ID627;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
ID628;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0
ID629;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0
ID630;0;1;1;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0
ID631;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0
ID632;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ID633;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
